Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Initial_Cost_Estimate,Amazon RDS for MySQL,0,4700.4800000000005,56405.76,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (30 GB), Provisioning IOPS (1000), Quantity (2), Instance type (db.m4.4xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (2 TB)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,4228.6900000000005,50744.28,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (2 TB per month), Workload (Consistent, Number of instances: 2), Advance EC2 instance (m5n.12xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,44.53,534.36,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Route 53,0,120.9,1450.80,USD,"Hosted Zones (1), Basic Checks Within AWS (30)"
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (1 TB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
